N,P,K,temperature,humidity,ph,rainfall,label
21,37,17,26.26,60.54,6.6,61.78,mothbeans
25,66,14,30.62,59.98,6.31,61.17,mothbeans
23,46,16,26.66,65.4,6.8,58.92,mothbeans
14,41,24,25.4,50.61,6.82,52.21,mothbeans
19,51,22,29.57,47.19,6.66,63.05,mothbeans
28,37,21,24.14,53.38,7.75,41.62,mothbeans
14,54,13,26.83,56.68,6.48,48.74,mothbeans
26,51,21,27.42,55.32,6.74,55.68,mothbeans
17,46,16,28.03,48.23,6.24,53.69,mothbeans
22,54,18,28.92,56.4,7.02,42.84,mothbeans
22,50,20,23.93,54.06,7.91,47.5,mothbeans
15,50,21,30.49,45.55,7.17,57.0,mothbeans
19,50,24,29.84,46.24,7.21,50.45,mothbeans
21,48,19,30.48,52.6,6.24,47.16,mothbeans
22,57,22,26.4,68.01,6.93,63.85,mothbeans
19,52,23,30.54,59.44,7.24,47.95,mothbeans
16,50,23,27.65,59.49,7.53,41.94,mothbeans
14,46,21,27.05,61.21,7.01,51.49,mothbeans
9,37,21,23.83,59.18,6.72,83.53,mothbeans
39,46,19,30.09,63.32,5.98,33.24,mothbeans
16,52,21,30.24,45.9,5.64,59.68,mothbeans
14,31,20,29.69,52.37,6.57,49.51,mothbeans
18,37,17,29.14,55.03,6.88,41.15,mothbeans
19,30,20,30.96,44.26,6.51,54.39,mothbeans
31,44,17,24.16,53.72,7.82,53.87,mothbeans
20,50,19,26.47,58.04,6.91,51.28,mothbeans
13,58,22,26.99,59.11,6.55,43.28,mothbeans
14,33,21,24.44,45.73,5.76,50.24,mothbeans
19,45,15,25.76,55.89,6.52,54.26,mothbeans
13,49,25,29.27,50.63,6.93,48.69,mothbeans
21,45,19,28.52,47.14,6.29,37.21,mothbeans
8,38,20,26.31,56.18,6.82,31.41,mothbeans
26,54,16,28.94,47.96,6.85,38.46,mothbeans
6,44,19,27.3,46.0,6.6,53.79,mothbeans
20,49,17,30.44,46.04,7.04,62.92,mothbeans
24,46,17,30.17,44.56,6.31,47.12,mothbeans
30,51,16,27.48,49.41,6.45,60.89,mothbeans
10,60,23,30.28,50.32,6.73,36.77,mothbeans
16,51,25,25.89,50.91,6.72,37.14,mothbeans
25,42,19,27.2,48.36,6.8,48.94,mothbeans
18,42,21,31.41,53.94,7.3,37.2,mothbeans
22,39,14,26.62,60.25,7.28,53.53,mothbeans
8,46,21,28.45,42.04,6.35,50.46,mothbeans
25,30,19,28.39,58.2,7.15,56.93,mothbeans
14,32,18,30.1,61.46,7.16,55.39,mothbeans
24,43,19,31.44,47.44,7.61,47.88,mothbeans
31,36,22,26.63,44.61,6.91,61.19,mothbeans
14,36,19,27.93,56.39,7.27,50.51,mothbeans
35,49,18,24.88,51.52,6.63,60.7,mothbeans
24,38,20,29.44,62.27,7.24,58.71,mothbeans
21,51,24,25.43,51.0,6.41,54.89,mothbeans
30,43,10,27.28,58.58,7.07,55.38,mothbeans
18,37,22,26.43,66.2,7.09,45.29,mothbeans
16,47,19,30.33,54.22,6.43,70.0,mothbeans
21,54,17,28.83,54.97,5.86,71.25,mothbeans
31,44,15,28.8,53.62,6.98,53.02,mothbeans
25,59,22,26.0,61.28,7.62,82.62,mothbeans
12,49,11,29.21,49.81,7.76,43.35,mothbeans
7,44,12,29.6,40.71,6.81,30.32,mothbeans
18,61,21,26.37,52.91,6.81,55.83,mothbeans
10,52,9,26.84,50.17,7.12,51.33,mothbeans
9,40,20,27.94,49.63,6.56,58.06,mothbeans
16,47,28,25.25,41.99,7.19,44.31,mothbeans
18,41,18,31.3,57.91,7.23,36.94,mothbeans
11,25,16,30.01,56.2,6.69,50.88,mothbeans
15,49,23,24.87,54.9,7.27,46.95,mothbeans
26,70,19,28.89,48.67,6.89,55.7,mothbeans
22,39,20,31.02,55.79,7.28,48.73,mothbeans
26,50,16,28.74,47.15,6.48,52.99,mothbeans
23,38,24,29.24,48.87,6.03,49.65,mothbeans
17,48,18,24.09,50.77,6.65,57.44,mothbeans
15,61,12,30.72,51.75,7.23,51.9,mothbeans
30,44,15,30.94,52.42,6.91,63.45,mothbeans
12,52,17,27.84,53.53,6.05,43.31,mothbeans
31,55,19,28.59,51.33,7.48,49.1,mothbeans
22,57,16,31.22,43.92,7.61,47.37,mothbeans
19,32,18,26.02,49.45,6.73,60.68,mothbeans
22,50,15,26.34,63.89,6.43,67.66,mothbeans
19,48,24,30.64,52.44,6.61,50.54,mothbeans
23,55,20,29.34,62.93,6.99,54.22,mothbeans
8,26,21,27.91,50.01,6.92,50.5,mothbeans
30,48,17,30.08,51.8,7.06,46.33,mothbeans
15,48,20,29.06,51.49,5.88,46.77,mothbeans
27,45,19,30.07,48.83,6.03,49.49,mothbeans
17,40,19,29.08,53.04,6.95,69.23,mothbeans
18,50,17,26.41,49.59,6.56,54.69,mothbeans
39,42,18,27.97,55.47,6.93,63.94,mothbeans
1,28,18,30.29,43.71,5.3,56.81,mothbeans
21,38,15,26.75,85.84,6.45,52.35,mungbean
0,40,14,28.04,83.25,7.02,33.53,mungbean
20,51,26,27.63,86.7,5.98,29.26,mungbean
26,46,23,26.03,87.48,7.45,51.76,mungbean
22,47,12,30.94,82.96,6.9,35.9,mungbean
10,58,17,31.12,85.09,5.96,55.54,mungbean
15,52,19,25.72,86.06,7.58,52.34,mungbean
19,55,19,28.88,81.03,6.79,56.68,mungbean
13,58,18,26.9,89.39,6.59,54.48,mungbean
17,46,20,29.02,77.42,6.25,55.84,mungbean
18,42,13,26.56,77.31,6.66,43.61,mungbean
12,46,20,32.27,79.35,7.16,56.18,mungbean
13,48,17,28.83,91.44,6.94,52.47,mungbean
16,35,18,30.67,79.29,6.28,49.41,mungbean
12,40,17,26.04,81.5,6.98,37.94,mungbean
7,41,21,28.15,83.54,6.72,34.43,mungbean
23,50,17,30.31,80.89,7.15,49.64,mungbean
17,46,18,30.7,81.09,6.39,56.69,mungbean
15,54,25,27.78,88.13,6.24,54.44,mungbean
21,50,16,25.51,87.41,5.87,45.86,mungbean
27,48,26,30.35,82.78,6.71,48.02,mungbean
7,39,16,24.83,85.59,6.6,35.02,mungbean
23,52,19,27.92,87.77,6.97,50.86,mungbean
13,49,23,27.43,93.79,6.49,48.66,mungbean
14,48,12,27.52,81.03,6.75,56.36,mungbean
25,28,27,29.03,82.29,6.76,49.81,mungbean
14,48,16,27.77,82.65,6.13,49.57,mungbean
24,51,22,29.08,83.27,7.04,37.54,mungbean
12,39,23,30.2,87.35,7.13,41.37,mungbean
22,45,22,28.29,83.86,6.92,55.41,mungbean
14,46,14,24.0,86.2,6.94,50.5,mungbean
4,44,10,30.97,81.06,7.2,55.97,mungbean
12,37,20,26.98,85.81,6.51,34.15,mungbean
2,48,16,27.5,88.18,7.17,46.22,mungbean
17,51,13,28.9,87.61,6.97,32.91,mungbean
13,39,19,29.37,91.39,6.5,44.42,mungbean
29,49,24,29.02,80.77,6.17,35.99,mungbean
25,56,26,30.02,90.05,6.47,39.15,mungbean
26,50,19,29.2,86.69,7.21,58.76,mungbean
24,53,21,27.67,88.43,6.14,56.83,mungbean
10,49,15,29.5,85.26,6.06,51.77,mungbean
15,54,19,29.21,81.57,6.46,44.73,mungbean
26,60,15,30.44,76.72,6.22,40.73,mungbean
9,34,20,28.11,86.92,6.98,50.52,mungbean
25,46,14,30.4,83.04,6.33,46.98,mungbean
12,43,20,29.13,81.81,6.5,56.99,mungbean
23,63,23,30.56,79.85,7.01,47.98,mungbean
15,48,22,29.4,81.89,7.0,43.3,mungbean
21,44,18,29.88,81.24,7.48,33.83,mungbean
15,49,21,28.32,85.17,6.86,46.55,mungbean
31,53,22,26.76,85.08,6.58,40.36,mungbean
22,42,21,26.57,92.28,6.34,50.15,mungbean
26,42,22,26.29,91.21,6.71,43.63,mungbean
17,53,16,27.15,84.51,6.23,62.96,mungbean
15,53,19,26.73,85.38,7.01,46.89,mungbean
29,55,22,27.67,81.08,6.45,49.97,mungbean
24,29,18,28.78,84.29,7.22,51.77,mungbean
30,45,22,31.44,90.65,6.26,46.37,mungbean
17,50,21,26.99,85.67,5.89,59.94,mungbean
15,47,17,30.56,74.05,6.69,47.55,mungbean
16,60,15,29.89,86.83,7.2,43.06,mungbean
14,55,20,25.72,83.24,6.85,55.1,mungbean
14,23,21,26.3,77.33,5.57,54.91,mungbean
21,45,24,29.65,91.87,6.14,48.12,mungbean
7,45,18,29.63,85.58,6.95,54.03,mungbean
37,44,15,28.94,82.19,7.29,46.13,mungbean
15,43,21,28.22,82.83,7.37,41.55,mungbean
20,52,12,29.36,81.18,7.03,40.7,mungbean
25,55,22,28.95,84.47,6.47,60.17,mungbean
14,38,21,27.07,81.6,6.12,44.54,mungbean
19,48,22,29.45,84.64,6.62,52.48,mungbean
30,48,17,26.71,79.62,6.97,53.02,mungbean
24,45,24,27.63,89.22,6.68,43.53,mungbean
24,50,20,28.65,85.25,7.66,57.87,mungbean
25,47,23,29.43,85.5,6.58,47.75,mungbean
0,48,17,31.37,85.48,6.22,48.0,mungbean
11,50,20,30.22,82.24,6.71,37.48,mungbean
25,51,20,28.5,87.06,7.34,46.12,mungbean
21,38,15,28.68,89.82,6.6,46.51,mungbean
16,42,20,25.8,90.52,6.43,54.18,mungbean
9,52,21,29.19,81.42,6.8,38.94,mungbean
17,55,22,28.53,81.5,6.96,48.56,mungbean
1,53,18,30.66,81.02,5.43,50.63,mungbean
22,33,15,33.46,84.18,6.99,43.19,mungbean
3,45,17,27.78,84.94,6.81,47.2,mungbean
9,50,11,24.81,88.36,6.9,47.94,mungbean
8,41,17,25.63,82.44,6.96,59.82,mungbean
16,53,11,29.69,82.18,6.82,46.42,mungbean
30,40,21,28.0,84.77,6.63,41.63,mungbean
19,46,19,28.65,88.59,7.07,40.0,mungbean
26,37,21,29.62,77.75,6.74,44.65,mungbean
13,57,16,27.05,85.7,6.97,47.27,mungbean
29,51,10,27.55,83.15,6.89,27.4,mungbean
40,51,19,30.63,94.77,7.05,55.99,mungbean
21,45,17,27.01,82.65,6.16,47.79,mungbean
6,48,18,28.76,83.31,7.93,59.28,mungbean
10,48,16,26.67,80.04,6.87,42.95,mungbean
27,54,24,26.97,87.3,6.95,44.61,mungbean
13,59,19,29.64,82.11,6.21,43.84,mungbean
19,38,18,25.46,80.92,6.97,53.23,mungbean
36,58,14,29.15,68.32,7.47,63.83,blackgram
28,69,15,28.86,71.73,7.43,69.06,blackgram
27,68,23,29.15,71.86,7.62,81.11,blackgram
43,71,24,30.79,62.59,6.92,69.71,blackgram
27,65,23,25.52,72.77,7.55,64.12,blackgram
45,67,23,31.87,58.1,7.33,66.15,blackgram
40,61,25,31.98,61.4,6.57,64.71,blackgram
44,68,24,31.48,69.95,7.23,56.69,blackgram
38,75,18,30.91,63.51,6.69,66.81,blackgram
43,61,18,28.02,70.7,6.98,79.42,blackgram
55,66,14,25.73,57.74,6.55,78.83,blackgram
41,70,10,27.5,69.54,7.21,66.62,blackgram
45,80,18,30.04,66.06,8.06,51.01,blackgram
46,66,21,28.59,64.86,7.38,92.7,blackgram
48,60,17,28.99,56.12,6.97,73.66,blackgram
27,75,20,28.43,64.39,7.74,73.67,blackgram
40,65,19,28.88,54.58,7.92,69.04,blackgram
43,66,16,29.53,57.1,8.01,57.92,blackgram
29,63,24,29.93,58.92,7.6,73.65,blackgram
45,72,28,34.27,61.67,7.75,70.87,blackgram
44,53,18,28.27,69.24,7.53,51.2,blackgram
39,75,18,31.36,66.86,7.24,65.63,blackgram
27,58,21,29.94,64.41,6.93,65.36,blackgram
50,64,13,31.39,64.08,7.11,80.66,blackgram
39,69,14,29.46,68.15,6.48,69.41,blackgram
41,67,23,30.57,72.49,6.7,68.89,blackgram
40,58,22,34.55,65.01,7.3,68.48,blackgram
32,52,16,27.12,73.62,7.05,65.03,blackgram
48,58,15,30.04,70.24,7.3,69.79,blackgram
40,70,19,27.84,65.33,6.67,68.45,blackgram
35,87,18,27.09,64.43,7.31,81.19,blackgram
34,54,22,27.14,62.92,7.0,67.24,blackgram
46,61,17,29.87,65.85,7.14,71.29,blackgram
48,70,20,26.74,65.35,7.29,73.63,blackgram
33,61,16,30.97,70.27,6.94,75.06,blackgram
41,66,18,31.39,66.73,8.01,60.98,blackgram
45,62,15,29.88,65.79,8.27,66.33,blackgram
28,69,10,29.72,65.18,7.42,75.59,blackgram
34,65,15,27.64,66.65,6.59,64.48,blackgram
30,71,26,27.3,55.83,7.05,67.93,blackgram
42,63,18,30.64,70.3,6.32,64.85,blackgram
42,59,25,28.63,64.89,7.32,63.07,blackgram
21,63,23,29.23,60.87,7.47,65.15,blackgram
34,68,22,34.66,69.24,7.56,63.75,blackgram
29,67,19,27.74,64.22,7.26,70.68,blackgram
45,69,16,28.87,59.11,7.81,67.91,blackgram
37,59,30,27.75,62.96,7.27,72.6,blackgram
49,81,21,27.79,63.82,7.22,84.35,blackgram
26,76,19,31.58,64.59,6.76,73.81,blackgram
46,74,18,28.7,57.31,7.43,71.19,blackgram
30,62,17,26.93,61.01,6.65,64.5,blackgram
32,53,27,32.41,61.2,7.21,71.14,blackgram
51,60,23,28.8,58.42,7.39,78.13,blackgram
65,57,21,29.08,69.02,6.51,57.7,blackgram
32,67,16,31.22,70.23,7.34,80.75,blackgram
44,57,24,28.69,69.65,7.73,71.45,blackgram
25,59,24,29.56,65.5,7.4,73.37,blackgram
42,65,17,31.62,67.87,7.0,76.46,blackgram
38,60,15,27.94,63.74,7.59,61.36,blackgram
41,61,17,26.88,64.0,7.02,72.12,blackgram
42,57,23,30.32,66.09,7.1,63.66,blackgram
42,70,12,28.82,63.83,7.2,77.35,blackgram
32,63,16,28.3,63.36,7.41,59.37,blackgram
44,53,16,29.24,73.47,6.99,50.19,blackgram
20,67,21,30.65,65.94,7.56,63.48,blackgram
48,53,15,26.29,63.73,7.08,68.71,blackgram
40,59,18,26.91,71.92,6.98,63.89,blackgram
55,57,14,27.71,64.76,7.27,73.72,blackgram
65,49,21,28.79,62.17,6.85,60.53,blackgram
56,73,19,32.6,57.54,6.57,50.38,blackgram
33,68,19,30.2,58.04,7.42,69.72,blackgram
47,51,20,27.52,63.11,7.31,68.53,blackgram
31,67,12,32.2,64.07,7.55,63.59,blackgram
34,60,22,28.48,68.32,6.95,51.99,blackgram
34,57,19,27.52,69.73,7.06,66.38,blackgram
46,74,18,28.36,56.23,6.83,62.86,blackgram
41,64,21,28.67,64.81,7.57,70.53,blackgram
39,62,16,28.2,62.39,7.4,66.02,blackgram
26,81,20,27.09,62.89,7.14,81.44,blackgram
28,74,24,28.64,63.71,6.69,66.17,blackgram
39,72,23,28.4,55.26,7.09,70.15,blackgram
42,64,19,32.93,67.01,6.95,63.8,blackgram
38,80,18,29.86,62.69,7.54,83.48,blackgram
44,67,19,25.13,68.83,7.15,71.23,blackgram
32,63,17,31.94,63.21,7.93,71.25,blackgram
27,65,16,25.51,73.1,7.38,72.07,blackgram
41,55,17,31.58,59.84,6.09,65.98,blackgram
38,68,21,31.18,66.39,7.58,55.65,blackgram
45,72,14,26.89,61.37,6.84,73.83,blackgram
33,60,16,32.14,65.17,7.03,66.92,blackgram
52,61,24,30.32,64.3,8.1,59.35,blackgram
36,57,22,33.28,73.45,7.59,66.22,blackgram
36,53,27,30.84,62.64,7.63,60.02,blackgram
44,65,21,29.77,57.85,7.13,76.19,blackgram
39,73,14,29.85,61.98,7.4,68.05,blackgram
46,75,21,30.45,60.11,7.1,63.54,blackgram
36,64,15,25.99,61.76,7.18,57.01,blackgram
40,82,23,33.19,67.06,7.57,62.01,blackgram
33,45,23,32.98,62.33,7.0,61.77,blackgram
43,75,12,30.72,63.72,7.15,71.47,blackgram
16,67,18,27.41,66.89,6.99,35.43,lentil
15,75,19,26.48,73.63,7.32,46.35,lentil
14,47,18,23.52,66.75,6.84,43.04,lentil
7,60,20,29.65,64.31,7.03,53.22,lentil
13,70,16,27.09,65.56,7.02,39.34,lentil
22,84,14,23.48,65.96,7.21,41.12,lentil
1,78,22,19.27,61.76,7.53,57.18,lentil
23,66,19,24.11,70.44,6.55,39.15,lentil
24,67,24,22.49,64.53,6.53,45.66,lentil
9,64,13,26.58,68.38,6.21,56.27,lentil
32,68,16,32.97,58.21,6.91,47.04,lentil
26,70,17,21.65,63.09,6.5,45.98,lentil
14,56,24,23.01,58.46,6.83,46.15,lentil
7,70,14,29.63,67.42,6.74,39.64,lentil
17,72,18,23.85,65.09,6.66,42.85,lentil
5,75,20,22.18,74.29,6.93,37.31,lentil
23,71,20,23.22,67.05,6.8,50.05,lentil
6,64,25,22.2,61.78,6.72,35.88,lentil
4,66,19,24.34,64.08,6.92,53.78,lentil
16,63,17,26.24,71.86,6.65,46.39,lentil
20,60,19,20.1,55.95,7.05,42.53,lentil
19,67,15,24.36,58.63,7.46,34.75,lentil
16,59,21,23.51,62.21,7.24,45.84,lentil
21,60,13,24.82,63.21,7.15,44.96,lentil
19,55,26,24.01,68.29,6.57,48.06,lentil
10,71,17,24.59,68.29,6.41,40.12,lentil
20,84,18,26.27,64.27,7.68,31.62,lentil
18,54,8,25.39,65.5,6.79,44.75,lentil
36,65,21,22.55,66.28,6.8,42.32,lentil
28,77,19,17.59,62.99,7.98,43.75,lentil
24,79,19,21.97,52.62,7.17,39.08,lentil
19,58,17,24.6,66.14,6.45,55.18,lentil
14,54,18,24.6,65.6,7.44,43.71,lentil
17,59,22,25.05,62.7,6.14,57.16,lentil
10,63,20,20.91,57.33,6.05,51.37,lentil
14,91,15,21.74,61.97,7.0,41.84,lentil
21,60,13,19.11,53.68,6.69,43.19,lentil
14,77,23,23.5,55.83,6.67,40.8,lentil
14,62,16,23.34,61.62,6.98,48.48,lentil
12,78,15,19.65,66.7,6.57,48.17,lentil
3,79,21,20.0,57.41,7.57,39.7,lentil
12,49,17,23.82,68.38,6.34,33.44,lentil
20,76,12,27.74,64.99,7.34,45.04,lentil
2,66,23,21.82,62.86,6.83,22.4,lentil
28,60,21,24.24,71.09,7.06,43.72,lentil
12,74,11,26.44,59.3,7.4,46.89,lentil
21,68,11,21.92,68.16,6.97,55.05,lentil
20,60,15,24.81,53.23,7.57,49.13,lentil
25,55,23,31.19,58.2,7.21,45.61,lentil
8,71,22,22.7,70.63,6.23,33.64,lentil
18,68,16,26.93,67.45,7.24,44.61,lentil
21,64,27,22.06,75.33,6.91,34.6,lentil
26,69,22,28.17,66.49,6.66,53.41,lentil
18,73,10,25.84,61.61,7.56,50.58,lentil
19,71,15,29.37,74.76,7.06,58.32,lentil
14,61,19,25.8,62.83,7.12,48.05,lentil
12,72,22,25.01,70.56,6.41,49.34,lentil
10,59,16,21.67,62.06,6.81,52.3,lentil
16,55,23,21.99,64.51,7.08,47.2,lentil
24,71,15,31.04,65.77,6.84,53.31,lentil
19,71,28,23.67,63.21,6.95,54.17,lentil
8,52,16,19.6,62.68,7.1,38.47,lentil
9,68,22,19.42,68.9,7.23,53.23,lentil
25,85,17,24.83,62.72,6.9,57.86,lentil
9,61,24,27.56,62.98,7.24,48.33,lentil
27,68,23,32.43,67.79,6.92,51.38,lentil
15,87,19,23.68,60.62,7.34,52.54,lentil
15,72,12,25.05,67.06,7.58,39.43,lentil
10,60,13,28.51,72.54,7.03,55.37,lentil
18,67,17,23.57,57.06,7.01,45.28,lentil
22,68,18,21.89,65.16,7.2,36.45,lentil
18,69,16,22.74,65.95,6.45,48.4,lentil
12,76,28,21.92,67.47,6.61,53.93,lentil
10,71,15,23.88,59.64,7.23,38.9,lentil
21,65,18,24.94,60.99,6.98,57.84,lentil
13,77,24,22.05,57.52,7.02,41.22,lentil
29,68,15,21.06,70.25,6.67,45.95,lentil
23,64,18,24.45,68.22,7.14,43.84,lentil
18,65,13,25.27,74.26,6.55,39.42,lentil
12,73,20,24.02,60.21,6.94,33.08,lentil
18,74,13,19.9,72.7,6.66,54.69,lentil
17,66,20,21.85,65.46,6.75,35.04,lentil
20,65,18,20.87,72.76,7.25,53.31,lentil
16,54,26,24.32,61.06,7.07,54.94,lentil
17,78,23,21.27,61.43,7.28,23.9,lentil
17,56,17,23.6,63.01,6.68,36.82,lentil
31,82,14,29.25,62.8,6.95,45.09,lentil
14,75,19,23.07,58.28,6.54,32.47,lentil
18,58,17,28.61,70.8,6.89,44.9,lentil
29,72,17,20.22,66.77,7.23,40.55,lentil
19,65,18,17.04,63.69,7.29,40.55,lentil
18,61,20,23.85,60.1,7.43,53.03,lentil
14,71,21,26.43,56.33,7.3,41.04,lentil
15,89,20,23.34,53.77,7.46,34.84,lentil
11,65,24,26.82,64.01,7.02,40.8,lentil
18,68,22,27.4,67.27,6.76,51.53,lentil
17,59,17,24.75,69.35,6.83,35.93,lentil
18,68,19,27.26,69.89,6.66,40.67,lentil
11,73,24,23.55,63.59,7.49,49.64,lentil
20,58,21,21.71,59.13,6.76,40.91,lentil
16,12,44,24.62,84.26,6.89,97.77,pomegranate
23,17,40,21.34,93.74,5.78,114.79,pomegranate
24,20,51,20.48,92.97,6.35,122.3,pomegranate
17,16,46,20.57,85.86,6.14,114.93,pomegranate
26,18,46,18.4,88.77,6.26,106.13,pomegranate
18,20,37,22.15,89.96,5.94,106.14,pomegranate
17,17,40,21.99,88.8,7.04,93.47,pomegranate
13,29,34,18.42,92.3,5.36,104.68,pomegranate
30,11,30,18.05,92.8,6.96,101.35,pomegranate
22,23,48,21.18,83.2,5.99,102.38,pomegranate
16,17,45,24.99,89.58,6.95,111.79,pomegranate
18,21,40,26.94,85.78,6.14,105.98,pomegranate
20,23,39,18.24,92.63,6.78,84.2,pomegranate
17,11,36,19.54,92.53,6.46,92.07,pomegranate
23,12,41,19.76,89.0,6.65,113.76,pomegranate
26,17,41,20.71,90.65,6.62,106.32,pomegranate
7,19,41,20.1,86.25,7.14,113.4,pomegranate
16,13,35,25.06,90.51,6.12,113.62,pomegranate
13,24,46,20.63,88.21,5.09,89.72,pomegranate
9,18,38,18.44,89.26,6.65,113.83,pomegranate
6,17,33,24.05,92.45,5.95,98.31,pomegranate
15,8,41,21.12,93.01,5.85,100.07,pomegranate
8,13,34,24.29,88.01,6.46,102.93,pomegranate
10,17,42,18.78,92.53,5.98,101.7,pomegranate
21,15,40,21.01,90.49,5.21,85.54,pomegranate
21,22,35,21.19,90.98,6.75,83.17,pomegranate
12,16,43,28.05,89.42,5.7,112.33,pomegranate
25,18,35,24.19,92.09,5.89,112.08,pomegranate
23,22,39,20.9,93.78,5.79,112.76,pomegranate
9,22,38,24.97,91.57,5.79,124.6,pomegranate
27,21,36,21.03,90.54,6.05,127.81,pomegranate
18,7,41,20.93,89.88,6.22,117.18,pomegranate
24,19,38,21.7,90.16,6.0,114.45,pomegranate
20,24,46,20.09,92.56,5.92,115.85,pomegranate
14,13,41,15.11,84.85,6.31,108.49,pomegranate
15,11,35,22.78,91.85,6.39,121.38,pomegranate
20,15,38,18.29,89.78,6.96,115.72,pomegranate
26,16,46,21.32,94.51,6.39,115.99,pomegranate
26,17,41,25.02,89.7,5.74,133.22,pomegranate
15,18,45,20.28,87.08,6.53,85.98,pomegranate
16,18,38,17.94,94.88,6.45,124.67,pomegranate
16,14,41,21.26,86.57,7.13,100.03,pomegranate
6,23,37,20.28,84.8,7.27,92.03,pomegranate
18,21,42,21.65,85.0,6.0,109.75,pomegranate
13,18,43,24.21,86.42,7.5,116.71,pomegranate
17,22,51,18.2,89.42,5.21,109.81,pomegranate
20,17,36,16.68,91.22,7.13,100.41,pomegranate
20,11,42,20.82,87.81,6.02,102.78,pomegranate
20,12,38,21.7,86.8,7.3,97.26,pomegranate
13,14,48,23.18,87.29,6.95,109.91,pomegranate
19,16,36,22.64,88.46,7.31,92.27,pomegranate
27,17,41,23.88,88.21,6.83,75.01,pomegranate
13,14,33,21.26,91.26,6.75,110.39,pomegranate
14,19,40,24.14,92.43,6.42,96.73,pomegranate
14,15,38,22.47,92.25,6.37,107.69,pomegranate
18,15,35,17.41,88.01,6.64,99.07,pomegranate
16,19,42,19.1,93.09,6.96,93.94,pomegranate
13,22,39,16.25,85.9,6.28,93.54,pomegranate
15,18,47,21.07,93.32,7.11,124.71,pomegranate
19,10,42,24.42,89.86,7.27,117.82,pomegranate
21,22,41,15.57,88.6,7.0,97.81,pomegranate
16,13,48,26.0,87.45,6.47,99.33,pomegranate
21,20,44,22.63,98.91,5.89,86.97,pomegranate
15,11,32,19.3,87.33,5.92,113.72,pomegranate
14,17,44,19.88,89.31,6.58,84.2,pomegranate
3,19,42,26.96,90.57,6.81,105.15,pomegranate
19,24,29,22.83,96.51,6.54,127.31,pomegranate
14,17,40,16.26,86.6,5.85,117.36,pomegranate
23,19,44,21.39,93.71,6.4,108.19,pomegranate
16,20,37,24.24,86.7,5.85,115.75,pomegranate
17,16,44,20.28,89.5,7.1,125.97,pomegranate
27,16,46,19.43,87.38,5.22,127.57,pomegranate
12,17,35,23.54,88.97,5.75,112.8,pomegranate
9,14,29,18.24,90.64,5.42,89.73,pomegranate
17,15,49,26.38,87.5,6.68,116.49,pomegranate
14,12,39,21.37,88.79,6.62,98.49,pomegranate
11,18,41,18.86,92.88,5.51,100.56,pomegranate
16,15,37,26.48,87.55,7.62,112.75,pomegranate
18,19,52,19.32,86.74,6.02,107.89,pomegranate
7,18,48,22.18,89.22,6.09,118.28,pomegranate
13,25,49,22.44,90.07,6.92,120.64,pomegranate
13,15,33,22.82,92.1,5.73,102.04,pomegranate
9,14,42,19.97,89.2,5.59,109.74,pomegranate
17,15,39,22.25,87.66,5.66,129.17,pomegranate
14,17,45,30.62,86.37,6.62,99.01,pomegranate
14,15,34,21.7,85.68,6.87,108.16,pomegranate
20,16,38,22.52,86.61,6.22,97.18,pomegranate
12,9,46,20.08,93.59,6.93,92.07,pomegranate
11,28,48,21.72,90.87,6.08,112.69,pomegranate
13,9,33,21.85,86.71,6.37,94.6,pomegranate
13,21,41,21.78,92.74,6.64,124.86,pomegranate
15,16,33,20.73,92.99,7.05,119.02,pomegranate
7,22,30,24.05,89.0,6.75,91.51,pomegranate
25,12,36,19.3,84.84,6.45,129.17,pomegranate
34,18,45,22.38,91.6,6.23,109.84,pomegranate
21,15,39,21.65,92.58,5.87,106.88,pomegranate
29,22,46,21.86,91.06,6.9,126.22,pomegranate
6,12,46,21.11,88.08,5.77,100.84,pomegranate
9,26,39,21.66,91.86,6.88,118.85,pomegranate
24,15,38,23.72,88.52,6.4,112.29,pomegranate
111,67,54,26.88,83.13,6.21,123.89,banana
120,92,58,27.82,80.43,6.25,113.38,banana
95,85,49,25.76,85.46,5.92,129.18,banana
75,77,50,29.35,81.9,6.02,91.07,banana
82,84,41,26.34,82.3,5.51,123.86,banana
118,69,44,23.19,77.17,6.21,99.63,banana
106,69,54,26.3,80.35,5.86,89.34,banana
82,89,52,29.19,81.6,5.96,83.89,banana
95,81,61,28.54,86.44,6.14,96.06,banana
101,83,44,26.61,79.48,6.54,79.63,banana
118,74,41,29.42,83.23,6.4,114.21,banana
130,86,49,27.92,85.27,5.59,96.78,banana
95,65,50,23.9,80.51,6.25,98.88,banana
125,70,57,28.52,73.44,6.98,103.84,banana
86,70,48,27.07,80.71,5.78,112.2,banana
94,66,49,23.04,81.72,5.51,106.56,banana
119,74,56,26.52,87.31,5.75,94.51,banana
110,78,44,26.44,80.12,6.44,81.39,banana
100,86,51,29.66,80.0,5.83,111.71,banana
101,78,53,26.13,77.86,5.69,120.84,banana
51,85,50,24.27,81.54,6.09,111.68,banana
60,92,45,28.54,83.26,5.55,112.53,banana
94,65,57,25.9,76.88,5.74,107.87,banana
99,86,41,25.96,79.84,6.66,103.23,banana
116,82,47,26.86,79.63,6.14,121.1,banana
105,91,44,26.55,77.4,6.03,100.29,banana
110,74,50,28.54,72.04,6.75,101.2,banana
69,83,50,27.15,84.26,6.2,108.17,banana
